Country,Element,Year,Unit,Value,Land SQM Text,Land sqkm
Belarus,Stocks,2018,Head,87600,"202,900 sq km",202900.00
Congo,Stocks,2018,Head,129741,"214,969 km",214969.00
Ghana,Stocks,2018,Head,4886604,"227,540 sq km",227540.00
Romania,Stocks,2018,Head,9981900,"229,890 sq km",229890.00
United Kingdom,Stocks,2018,Head,33781000,"241,930 sq km",241930.00
Guinea,Stocks,2018,Head,2708364,"245,720 sq km",245720.00
Gabon,Stocks,2018,Head,218782,"257,670 sq km",257670.00
Western Sahara,Stocks,2018,Head,37147,"266,000 km",266000.00
New Zealand,Stocks,2018,Head,27295749,"267,710 sq km",267710.00
Burkina Faso,Stocks,2018,Head,10394652,"273,600 sq km",273600.00
Ecuador,Stocks,2018,Head,355897,"276,840 sq km",276840.00
Italy,Stocks,2018,Head,7179158,"294,140 sq km",294140.00
Philippines,Stocks,2018,Head,30000,"298,170 sq km",298170.00
Finland,Stocks,2018,Head,154999,"304,090 sq km",304090.00
Poland,Stocks,2018,Head,276737,"304,250 sq km",304250.00
Norway,Stocks,2018,Head,2402828,"304,280 sq km",304280.00
Oman,Stocks,2018,Head,605288,"309,500 sq km",309500.00
Côte d'Ivoire,Stocks,2018,Head,1867482,"322,463 km",322463.00
Malaysia,Stocks,2018,Head,138111,"328,550 sq km",328550.00
Germany,Stocks,2018,Head,1569900,"348,770 sq km",348770.00
Japan,Stocks,2018,Head,15161,"364,500 sq km",364500.00
Zimbabwe,Stocks,2018,Head,436920,"386,850 sq km",386850.00
Paraguay,Stocks,2018,Head,531947,"397,300 sq km",397300.00
Sweden,Stocks,2018,Head,360120,"410,330 sq km",410330.00
Greenland,Stocks,2018,Head,18083,"410,450 sq km",410450.00
Uzbekistan,Stocks,2018,Head,17775000,"425,400 sq km",425400.00
Iraq,Stocks,2018,Head,6501583,"437,370 sq km",437370.00
Morocco,Stocks,2018,Head,19880000,"446,300 sq km",446300.00
Papua New Guinea,Stocks,2018,Head,7350,"452,860 sq km",452860.00
Turkmenistan,Stocks,2018,Head,14074027,"469,930 sq km",469930.00
Cameroon,Stocks,2018,Head,3436274,"472,710 sq km",472710.00
Spain,Stocks,2018,Head,15852525,"498,980 sq km",498980.00
Thailand,Stocks,2018,Head,40681,"510,890 sq km",510890.00
Yemen,Stocks,2018,Head,9661574,"527,968 km",527968.00
France,Stocks,2018,Head,7042206,"547,660 sq km",547660.00
Botswana,Stocks,2018,Head,223030,"566,730 sq km",566730.00
Kenya,Stocks,2018,Head,19485699,"569,140 sq km",569140.00
Ukraine,Stocks,2018,Head,727200,"579,330 sq km",579330.00
Madagascar,Stocks,2018,Head,847678,"581,540 sq km",581540.00
